,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,nan -  Upazila,Number of - branch of private commercial,Number of borrower - Agriculture debt,Number of borrower - Agriculture debt,Number of borrower - Industry debt,Number of borrower - Industry debt,Number of borrower - Others debt,Number of borrower - Others debt,Number of borrower,Number of borrower,Number of borrower - Total debt (Crore),Number of borrower - Total debt (Crore)
3, Upazila,branch of private commercial,Male,female,Male,female,Male,female,Male,female,Male,female
4,,bank,Male,female,Male,female,Male,female,Male,female,Male,female
5,Kushtia Sadar,22,18,74,66,10,1960,408,4042,472,464.56,35.86
6,Bheramara,2,2,7,6,1,178,37,186,45,42.23,3.26
7,Daulatpur,0,0,0,0,0,0,0,0,0,0,0
8,Khoksa,1,15,6,0,0,122,19,137,25,2,8
9,Kumarkhali,1,50,350,7,0,64,0,121,350,573,0.35
10,Mirpur,4,508,1176,118,0,381,1210,1005,2386,14.9,5.66
11,Total,30,593,1613,195,11,2705,1674,5491,3278,1096.69,53.13
