,0,1,2,3
0,Number of insurance company 2011,,,
1,,,,
2,Upazila,Number of insurance company,Number of employee,Number of client
3,Adarsha Sadar,46,513,541624
4,Barura,6,118,15484
5,Brahmanpara,24,120,14700
6,Burichang,24,138,15980
7,Chandina,6,405,4480
8,Chauddagram,0,0,0
9,Comilla Sadar Dakshin,5,55,375
10,Daudkandi,28,889,43597
11,Debidwar,13,205,2000
12,Homna,11,62,7901
13,Laksam,19,938,64300
14,Monoharganj,13,65,16400
15,Meghna,11,48,2810
16,Muradnagar,26,2128,30288
17,Nangalkot,10,1660,15515
18,Titas,2,8,1345
19,Total,244,7352,776799
