,0,1,2,3,4,5
0,"Number of physician,  practitioner in the upazila 2011",,,,,
1,,,,,,
2,Upazila,Total physicians,"MBBS, FCPS/over",L.M.F,Unani / Ayurbedic,Homeopathy
3,Austagram,45,5,36,1,3
4,Bajitpur,12,10,2,0,0
5,Bhairab,173,82,45,1,45
6,Hossainpur,30,15,3,2,10
7,Itna,43,0,18,7,18
8,Karimganj,14,12,0,0,2
9,Katiadi,60,10,3,15,32
10,Kishoreganj Sadar,61,26,17,6,12
11,Kuliar-char,8,8,7,14,12
12,Mithamain,0,0,0,0,20
13,Nikli,37,4,16,5,12
14,Pakundia,81,12,25,2,42
15,Tarail,4,4,0,0,16
16,Total,568,188,172,53,224
