,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
2,"
Upazila",Labour,Labour,Labour
3,"
Upazila",Male,Female,"Child
(under 15 years old)"
4,Atrai,200,170,130
5,Badalgachhi,200,190,110
6,Dhamoirhat,250,200,120
7,Manda,200,150,0
8,Mahadebpur,200,150,100
9,Naogaon sadar,230,200,130
10,Niamatpur,180,150,120
11,Patnitala,250,200,150
12,Porsha,150,120,100
13,Raninagar,240,125,50
14,Sapahar,200,180,120
15,Average,209,167,113
