,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,,,,,,
2,(Wage in taka),(Wage in taka),(Wage in taka),(Wage in taka),(Wage in taka),(Wage in taka)
3,Upazila,Porter (coolee),Garden labour male,Garden female labour,Other labour (Adult),Other labour (Child)
4,Atrai,200,0,0,200,140
5,Badalgachhi,0,200,190,200,110
6,Dhamoirhat,300,250,200,200,120
7,Manda,150,0,0,0,135
8,Mahadebpur,275,200,150,200,100
9,Naogaon sadar,280,230,180,220,120
10,Niamatpur,250,200,170,200,120
11,Patnitala,400,250,200,250,150
12,Porsha,0,0,0,150,100
13,Raninagar,300,0,0,280,50
14,Sapahar,200,150,150,150,120
15,Average,262,211,177,205,115
