,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,,,,,,,,
2, Upazila,Number of union health centre,Health service, Sterilization, M.R.,Injection/ copper-T,Oral pill/condom,Number of immunization centre
3,Atrai,8,46000,0,0,7077,177390,192
4,Badalgachhi,8,37920,873,93,28236,210844,102
5,Dhamoirhat,8,14155,494,945,14433,1322664,125
6,Manda,9,8412,0,0,8511,458121,152
7,Mahadebpur,5,5874,1134,669,19348,397815,49
8,Naogaon sadar,12,14581,2,14,14814,147895,131
9,Niamatpur,8,3032,533,1590,6904,24500,91
10,Patnitala,6,1185,80,60,1858,183113,62
11,Porsha,5,5012,1,1,1501,10472,144
12,Raninagar,12,22043,1,8,8476,304152,192
13,Sapahar,5,5211,436,118,12068,150964,145
14,Total,86,163425,3555,3499,123226,3387930,1385
