,0,1,2,3,4,5,6,7,8,9,10
0,Number of Government health complex and health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Upazila,Number of   hospital/ clinic/ nursing home,  Number of bed, Number of  doctor,  Number of nurse, Number of    technician, Number of other staff,Number of patient under health facility,Number of patient under health facility,Number of patient under health facility,Number of patient under health facility
3,  Upazila,Number of   hospital/ clinic/ nursing home,  Number of bed, Number of  doctor,  Number of nurse, Number of    technician, Number of other staff,Indoor,Indoor,Outdoor,Outdoor
4,  Upazila,Number of   hospital/ clinic/ nursing home,  Number of bed, Number of  doctor,  Number of nurse, Number of    technician, Number of other staff,Male,Female,Male,Female
5,Adarsha Sadar,2,600,142,222,23,182,30356,34400,163465,152238
6,Barura,1,31,22,9,6,63,1768,1832,17095,20200
7,Brahmanpara,1,50,13,6,5,58,624,1130,7137,11033
8,Burichang,2,31,15,5,6,115,1840,1593,12396,9307
9,Chandina,2,51,12,21,6,123,3779,4370,10087,14314
10,Chauddagram,2,60,34,8,5,127,4719,5913,55570,70382
11,Comilla Sadar Dakshin,1,31,20,6,5,68,0,0,4317,4977
12,Daudkandi,1,50,8,12,5,139,6805,9124,77992,1139901
13,Debidwar,1,50,17,12,6,32,9562,9225,19009,23872
14,Homna,1,50,27,11,10,68,26019,29076,15549,21916
15,Laksam,1,50,20,12,7,56,2718,3904,13760,12841
16,Monoharganj,1,0,16,0,3,14,0,0,7820,8340
17,Meghna,0,31,16,1,4,31,0,0,4390,4990
18,Muradnagar,1,50,35,11,8,150,1436,3286,40797,57330
19,Nangalkot,2,50,24,8,5,81,2250,2512,25060,34894
20,Titas,1,31,19,9,4,50,406,839,8374,13903
21,Total,20,1216,440,353,108,1357,92282,107204,482818,1600438
