,0,1,2,3,4,5,6,7,8,9,10
0,Number of Non-Government health complex and health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Upazila,Number of hospital/ clinic/ nursing home,  Number of bed, Number of  doctor,  Number of nurse,  Number of technician, Number of other staff,Number of patient under health facilitiy - Indoor - Male,Number of patient under health facilitiy - Indoor - Female,Number of patient under health facilitiy - Outdoor - Male,Number of patient under health facilitiy - Outdoor - Female
3,Daulotpur,0,0,0,0,0,0,0,0,0,0
4,Gheor,1,300,24,17,12,85,1480,1720,18384,26846
5,Horirampur,4,3,4,5,3,6,0,0,4125,9790
6,Manikganj Sadar,21,223,31,172,91,193,1500,1100,25000,20000
7,Saturia,5,20,20,8,10,25,205,409,0,0
8,Shibalaya,1,20,2,3,1,4,237,270,4400,6500
9,Singair,6,86,28,35,21,65,2100,2315,3787,4912
10,Total,38,652,109,240,138,378,5522,5814,55696,68048
