,0,1,2,3,4,5,6,7
0,Number of family planning personnel by type 2011,,,,,,,
1,Sunamganj,,,,,,,
2,,,,,,,,
3,Upazila, TFPO, M.O, FPI, TFPA, FWV, FWA,Midwife or SBA
4,Bishwamvarpur,1,0,2,3,4,23,0
5,Chhatak,1,0,12,3,10,54,0
6,Dakshin Sunamganj,0,0,1,1,9,27,0
7,Derai,1,0,7,3,7,46,1
8,Dharmapasha,1,0,3,2,3,42,0
9,Doarabazar,0,1,7,35,6,35,15
10,Jagannathpur,1,1,6,3,3,36,0
11,Jamalganj,1,0,4,3,5,25,0
12,Shalla,1,0,3,2,4,19,60
13,Sunamganj Sadar,1,1,6,3,10,36,0
14,Tahirpur,1,0,6,2,6,25,0
15,Total,9,3,57,60,67,368,76
