,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,Lalmonirhat,,,,,,,
2,,,,,,,,
3, Upazila,Number of union health centre,Health service, Sterilization, MR,Injection/ copper-T,Oral pill/ condom,Number of immunization centre
4,Aditmari,8,3000,2127,194,8827,1005,192
5,Hatibandha,10,4000,8399,0,8887,21138,288
6,Kaligonj,10,40593,9320,252,11794,21188,192
7,Lalmonirhat Sadar,9,22720,1061,489,4356,77355,243
8,Patgram,7,3210,8583,50,8763,17222,192
9,Total,44,73523,29490,985,42627,137908,1107
