,0,1,2,3,4,5
0,Number of diagnostic centre and related health personnel 2011,,,,,
1,,,,,,
2,Upazila,Number of centre,Number of doctor,Number of nurse,Number of technician,Number of other staff
3,Adamdighi,3,0,1,7,7
4,Bogra sadar,41,41,0,49,85
5,Dhunat,3,5,10,6,7
6,Gabtali,1,4,0,3,4
7,Dhupchanchia,6,22,24,22,27
8,Kahaloo,0,0,0,0,0
9,Nandigram,0,0,0,0,0
10,Sariakandi,0,0,0,0,0
11,Sherpur,3,3,7,3,10
12,Shibganj,0,0,0,0,0
13,Sonatola,2,0,2,2,4
14,Shajahanpur,3,12,6,6,7
15,Total,62,87,50,98,151
