,0,1,2,3,4,5,6,7
0,Number of existing family planning personnel 2011,,,,,,,
1,,,,,,,,
2,Upazila,TFPO,M.O,FPI,TFPA,FWV,FWA,Midwife or SBA
3,Bhaluka,1,0,10,4,13,56,58
4,Dhubaura,1,1,3,2,5,29,5
5,Fulbaria,1,2,11,2,13,66,1
6,Gaffargaon,1,1,12,3,16,76,15
7,Gauripur,1,2,1,0,11,47,7
8,Haluaghat,1,1,9,2,7,51,6
9,Ishwargonj,1,2,9,3,5,60,12
10,Muktagacha,1,2,8,3,14,67,0
11,Mymensingh Sadar,1,2,9,4,20,78,4
12,Nandail,1,2,10,3,8,68,1
13,Phulpur,1,2,14,3,18,97,6
14,Trishal,1,2,5,3,14,61,12
15,Total,12,19,101,32,144,756,127
