,0,1,2,3,4,5
0,Average doctor s fee per patient 2011,,,,,
1,,,,,,
2,(Fee in taka) - Upazila,(Fee in taka) - Doctor - MBBS,(Fee in taka) - Doctor - FCPS,(Fee in taka) - Doctor - Dentist,(Fee in taka) - Doctor - Gynaecologist,(Fee in taka) - Doctor - Homeopathy
3,Alfadanga,150,0,150,0,50
4,Bhanga,200,300,200,200,50
5,Boalmari,150,300,100,200,50
6,Charbhadrashon,200,100,100,200,100
7,Faridpur Sadar,300,400,300,400,0
8,Madhukhali,250,350,100,250,50
9,Nagarkanda,200,0,0,0,40
10,Sadarpur,80,0,80,80,0
11,Saltha,0,0,0,0,40
12,Average,191,290,147,222,54
