,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,Gopalgonj,,,,,,,
2,,,,,,,,
3, Upazila,Number of union health centre,Health service, Sterilization, M.R.,Injection/ copper-T,Oral pill/ condom,Number of immunization centre
4,Gopalganj Sadar,21,44000,1264,187,17374,66347,420
5,Kashiani,14,14012,415,300,21814,17533,338
6,Kotalipara,10,10142,175,127,2987,15129,289
7,Muksudpur,13,13541,676,120,8126,23539,178
8,Tungipara,5,14520,288,125,1875,22172,170
9,Total,63,96215,2818,859,52176,144720,1395
