,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all private commercial banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
3,  Upazila,Number of branch of all private commercial banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,Number of borrower,Number of borrower,Total debt (crore tk),Total debt (crore tk)
4,  Upazila,Number of branch of all private commercial banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
5,Alikadam,0,0,0,0,0,0,0,0,0,0,0
6,Bandarban Sadar,9,5200,900,0,0,155,78,5355,928,0.99,0.22
7,Lama,0,0,0,0,0,0,0,0,0,0,0
8,Naikhongchhari,0,0,0,0,0,0,0,0,0,0,0
9,Rowangchhari,0,0,0,0,0,0,0,0,0,0,0
10,Ruma,0,0,0,0,0,0,0,0,0,0,0
11,Thanchi,0,0,0,0,0,0,0,0,0,0,0
12,Total,9,5200,900,0,0,155,78,5355,928,0.99,0.22
