,0,1,2,3,4,5
0,Number of Government health complex and health personnel 2011,,,,,
1,Bogura,,,,,
2,,,,,,
3,Upazila,Number of bed,Number of doctor,Number of nurse,Number of technician,Number of other staff
4,Adamdighi,50,7,9,8,60
5,Bogra sadar,810,185,358,85,538
6,Dhunat,50,5,9,0,113
7,Gabtali,50,11,16,4,31
8,Dhupchanchia,50,6,10,5,65
9,Kahaloo,50,30,17,7,102
10,Nandigram,31,4,8,4,76
11,Sariakandi,50,11,7,3,115
12,Sherpur,31,9,11,10,83
13,Shibganj,50,9,8,8,0
14,Sonatola,50,4,8,24,94
15,Shajahanpur,31,16,8,4,72
16,Total,1303,297,469,162,1349
