,0,1,2,3,4,5,6,7,8,9,10
0,Number of Government health complex and health facility 2011,,,,,,,,,,
1,"

Upazila","Number of  hospital/ clinic/
nursing home","

Number
of bed","
Number of  doctor","

Number of nurse","
Number of    technician","
Number of
other staff","Number of patient
under health facility","Number of patient
under health facility","Number of patient
under health facility","Number of patient
under health facility"
2,"

Upazila","Number of  hospital/ clinic/
nursing home","

Number
of bed","
Number of  doctor","

Number of nurse","
Number of    technician","
Number of
other staff",Indoor,Indoor,Outdoor,Outdoor
3,"

Upazila","Number of  hospital/ clinic/
nursing home","

Number
of bed","
Number of  doctor","

Number of nurse","
Number of    technician","
Number of
other staff",Male,Female,Male,Female
4,Jhenaigati,1,31,6,1,3,111,1318,1457,40145,57959
5,Nakla,1,50,14,10,7,109,18000,1658,27944,33213
6,Nalitabari,1,31,13,6,6,105,1566,1697,26227,35044
7,Sherpur Sadar,3,121,37,36,0,44,41232,47820,61222,55910
8,Sreebardi,1,31,12,8,2,109,1572,1456,56400,84000
9,Total,7,264,82,61,18,478,63688,54088,211938,266126
