,0,1,2,3,4,5
0,"Number of family planning clinical centre by municipality, city corporation 2011",,,,,
1,,,,,,
2,Upazila/City corporation,Sterilization centre,Mobile centre,Injection centre,Menstrual regularization centre,Family welfare centre
3,Balaganj,0,0,0,0,0
4,Beanibazar,1,0,1,1,1
5,Bishwanath,0,0,0,0,0
6,Companiganj,0,0,0,0,0
7,Dakhin surma,0,0,0,0,0
8,Fenchuganj,0,0,0,0,0
9,Golapganj,0,0,1,0,1
10,Gowainghat,0,0,0,0,0
11,Jaintiapur,0,0,0,0,0
12,Kanaighat,1,0,5,1,1
13,Sylhet city corporation,5,36,38,4,0
14,Sylhet sadar,0,0,0,0,0
15,Zakiganj,1,0,1,1,1
16,Total,8,36,46,7,4
