,0,1,2,3,4,5,6,7,8,9
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,
1,"
Upazila","Number of branch of all
nationalized bank",Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"
Upazila","Number of branch of all
nationalized bank",Agriculture debt,Agriculture debt,Industry debt,Industry debt,Others debt,Others debt,Number of borrower,Number of borrower
3,"
Upazila","Number of branch of all
nationalized bank",Male,Female,Male,Female,Male,Female,Male,Female
4,Bhola Sadar,7,1336,0,0,0,1744,320,3080,320
5,Burhanuddin,8,10483,200,0,0,768,618,11251,818
6,Char Fasson,5,40088,2885,0,0,1413,2922,41516,5807
7,Daulatkhan,3,2115,89,0,0,231,53,2346,142
8,Lalmohan,4,17728,610,0,0,3015,239,20743,849
9,Manpura,1,668,0,0,0,218,40,88 6,40
10,Tazumuddin,1,7805,0,0,0,379,15,8184,15
11,Total,29,6251279,3784,0,0,7768,4207,87120,7991
