,0,1,2,3,4,5,6,7,8,9
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,
1,,,,,,,,,,
2,Upazila,Number of branch of all nationalized banks,Number of borrower Agriculture debt Male,Number of borrower Agriculture debt Female,Number of borrower Industry debt Male,Number of borrower Industry debt Female,Number of borrower Others debt Male,Number of borrower Others debt Female,Number of borrower Number of borrower Male,Number of borrower Number of borrower Female
3,Akhaura,5,764,5,0,0,317,90,1081,140
4,Ashuganj,7,3203,4,22,0,43,23,3658,27
5,Banchharampur,6,1434,146,50,2,630,30,2151,151
6,Bijoynagar,3,4423,44,0,0,216,1,4639,45
7,Brahmanbaria Sadar,17,4416,686,14,0,2338,94,6828,780
8,Kasba,6,4741,10,0,0,39,0,4780,10
9,Nabinagar,11,1320,220,0,0,1071,25,2391,245
10,Nasirnagar,7,6925,641,0,0,604,176,7529,817
11,Sarail,4,23795,37,18,0,172,12,23985,49
12,Total,66,51021,1793,104,2,5430,451,57042,2264
