,0,1,2,3,4,5,6,7
0,"Number of health centres, providing health and family planning services 2011",,,,,,,
1,Kishoreganj,,,,,,,
2,,,,,,,,
3, Upazila,Number of union health centre, Health services, Sterilization, M.R., Injection/ copper-T, Oral pill/ condoms,Number of immunization centre
4,Austagram,2,2,0,2,2,2,0
5,Bajitpur,8,0,3810,85,1323,20817,0
6,Bhairab,5,168,0,0,333,60,0
7,Hossainpur,6,6,441,102,5516,16023,0
8,Itna,5,1225,1,1,3,4950,0
9,Karimganj,10,0,1,1,1,10,0
10,Katiadi,6,434,434,10,10,5000,0
11,Kishoreganj Sadar,10,264,3,12,97,78,0
12,Kuliar-char,5,168,300,0,1240,1350,0
13,Mithamain,4,4,340,22,41,12587,0
14,Nikli,4,0,403,56,4475,9326,0
15,Pakundia,8,0,0,116,4663,36676,0
16,Tarail,6,6,463,348,3233,12643,0
17,Total,79,2277,6196,755,20937,119522,0
