,0,1,2,3
0,Daily average wage rate of agricultural labour 2011,,,
1,,,,
2,(Rate in taka),(Rate in taka),(Rate in taka),(Rate in taka)
3,Upazila,Labour,Labour,Labour
4,Upazila,Male,Female,Child (under 15 years old)
5,Adarsha Sadar,350,250,250
6,Barura,250,200,150
7,Brahmanpara,250,120,100
8,Burichang,250,200,150
9,Chandina,300,200,100
10,Chauddagram,300,250,100
11,Comilla Sadar Dakshin,270,200,180
12,Daudkandi,300,200,150
13,Debidwar,250,150,100
14,Homna,200,150,100
15,Laksam,280,0,130
16,Monoharganj,250,200,150
17,Meghna,200,150,80
18,Muradnagar,250,150,100
19,Nangalkot,250,180,150
20,Titas,250,200,150
21,Average,263,187,134
