,0,1,2,3
0,Number of insurance company 2011,,,
1,Upazila,"Number of
insurance company",Number of employee,Number of client
2,Adarsha Sadar,46,513,541624
3,Barura,6,118,15484
4,Brahmanpara,24,120,14700
5,Burichang,24,138,15980
6,Chandina,6,405,4480
7,Chauddagram,0,0,0
8,Comilla Sadar Dakshin,5,55,375
9,Daudkandi,28,889,43597
10,Debidwar,13,205,2000
11,Homna,11,62,7901
12,Laksam,19,938,64300
13,Monoharganj,13,65,16400
14,Meghna,11,48,2810
15,Muradnagar,26,2128,30288
16,Nangalkot,10,1660,15515
17,Titas,2,8,1345
18,Total,244,7352,776799
