,0,1,2,3,4,5,6,7,8,9,10
0,Number of Non-government health complex and health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,Upazila,Number of Hospital/ Clinic/ Nursing home,Number of bed,Number of doctor,Number of nurse,Number of technician,Number of other staff,Number of Patient under Health facilities-2011 Indoor Male,Number of Patient under Health facilities-2011 Indoor Female,Number of Patient under Health facilities-2011 Outdoor Male,Number of Patient under Health facilities-2011 Outdoor Female
3,Kushtia Sadar,67,450,107,156,102,118,29328,30683,4324,4042
4,Bheramara,7,35,7,9,7,9,1210,1400,8000,10000
5,Daulatpur,12,68,16,32,16,39,2300,5200,1600,9550
6,Khoksa,2,22,3,4,2,4,23,312,0,0
7,Kumarkhali,7,90,5,21,14,21,110,480,0,0
8,Mirpur,5,37,8,16,6,20,30,100,45,140
9,Total,100,702,146,238,147,211,33001,38175,13969,23732
