,0,1,2,3,4
0,"Name of land, river port, important or historical, tourist places, objects, important, famous crop or food production 2011",,,,
1,Natore,,,,
2,,,,,
3, Upazila,Name of land/river/sea port,Name of Important or historical/tourist place/object,Name of important /famous crop or food production,Distance between district head quarter  upazila by road (km)
4,Bagatipara,-,Jomidar bari,Akh,20
5,Baraigram,-,-,Khejur gur,16
6,Gurudaspur,Chascor river,Khobjipur Zoo,Garlic,48
7,Lalpur,Padma river,Belabari Mazar,"Paddy,Wheat",37
8,Natore Sadar,-,Uttara Gonobhaban,Kacha Golla,1
9,Singra,Singra river,Tisikhali Mela,Boro,22
