,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institution borrowing money from nationalized bank 2011",,,,,,,,,,,
1,Barisal,,,,,,,,,,,
2,,,,,,,,,,,,
3,Upazila/city corporation,Number of branch of nationalized bank,Number of borrower Agriculture debt Male,Number of borrower Agriculture debt Female,Number of borrower Industry debt Male,Number of borrower Industry debt Female,Number of borrower Other debt Male,Number of borrower Other debt Female,Number of borrower Number of borrower Male,Number of borrower Number of borrower Female,Number of borrower Total debt (crore) Male,Number of borrower Total debt (crore) Female
4,Agailjhara,4,12499,755,0,0,1602,686,14102,1441,9.62,1.9
5,Babuganj,4,2110,200,0,10,274,65,2740,173,5.2,0.6
6,Bakerganj,13,22707,730,0,0,0,0,2279,730,22.7,0.78
7,Banaripara,7,10530,5390,100,10,504,1820,11134,7220,36.7,1.82
8,Barisal city corporation,28,5398,40,211,0,5829,102,11438,142,475.42,0.78
9,Barisal Sadar,3,862,21,0,0,103,14,965,35,35.68,0.12
10,Gaurnadi,11,2667,122,0,0,1191,816,3860,938,20.13,1.38
11,Hizla,3,4734,0,0,0,2342,570,7076,570,23,1.6
12,Mehendiganj,0,2002,89,0,0,751,0,2753,89,4.09,1
13,Muladi,4,1553,126,0,0,157,138,1770,264,24.82,1.4
14,Wazirpur,9,4588,71,1,0,2005,1370,6594,1414,4.25,1.5
15,Total,86,69650,7544,312,20,14758,5581,64711,13016,661.61,12.96
