,0,1,2,3,4,5
0,Average doctor s fee per patient 2011,,,,,
1,Barisal,,,,,
2,(Fee in taka),,,,,
3,Upazila/city corporation,Doctor MBBS,Doctor FCPS,Doctor Dentist,Doctor Gynaecologist,Doctor Homeopathy
4,Agailjhara,200,0,150,0,40
5,Babuganj,200,0,200,0,50
6,Bakerganj,200,0,100,200,50
7,Banaripara,100,0,100,100,0
8,Barisal city corporation,200,400,300,300,100
9,Barisal Sadar,200,0,0,0,0
10,Gaurnadi,200,250,100,300,50
11,Hizla,0,0,100,0,0
12,Mehendiganj,100,200,0,100,0
13,Muladi,300,0,0,0,200
14,Wazirpur,200,0,100,0,20
15,Average,173,77,105,91,46
