,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of Person, Institute Borrowing Money from Nationalized Bank 2011",,,,,,,,,,,
1,"
Upazila/ City Corporation","Number of   Branch of   nationali
zed bank",Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"
Upazila/ City Corporation","Number of   Branch of   nationali
zed bank",Agriculture debt,Agriculture debt,Industry debt,Industry debt,Others debt,Others debt,Number of borrower,Number of borrower,Total debt (Crore),Total debt (Crore)
3,"
Upazila/ City Corporation","Number of   Branch of   nationali
zed bank",Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Batiaghata,3,0,0,0,0,0,0,0,0,0,0
5,Dacope,4,222,7,0,0,1036,15,1258,22,7,1
6,Dighalia,5,340,0,0,0,660,25,1000,25,5,1
7,Dumuria,7,741,185,0,0,327,42,503,82,5,7
8,Khulna City Corporation,31,452,78,27,0,1249,813,1729,891,24,36
9,Koyra,4,3065,1890,0,0,0,0,3190,2025,4,3
10,Paikgachha,7,1293,512,0,0,402,41,1693,577,15,2
11,Phultala,4,4473,2354,0,0,1000,296,5473,2750,30,10
12,Rupsa,6,1174,479,0,0,398,38,1572,517,14,2
13,Terokhada,3,1916,87,0,0,480,149,5184,184,17,4
14,Total,74,13676,5592,27,0,5552,1419,21602,7073,121,66
