,0,1,2,3,4,5,6,7,8,9,10
0,Number of Non-Government health complex and health facility 2011,,,,,,,,,,
1,"

Upazila",Number of  hospital/ clinic/ nursing home,"

Number of bed","

Number of doctor","

Number of nurse","

Number of technician","
Number of
other staff",Number of patient under health facility,Number of patient under health facility,Number of patient under health facility,Number of patient under health facility
2,"

Upazila",Number of  hospital/ clinic/ nursing home,"

Number of bed","

Number of doctor","

Number of nurse","

Number of technician","
Number of
other staff",Indoor,Indoor,Outdoor,Outdoor
3,"

Upazila",Number of  hospital/ clinic/ nursing home,"

Number of bed","

Number of doctor","

Number of nurse","

Number of technician","
Number of
other staff",Male,Female,Male,Female
4,Gazipur Sadar,62,620,186,372,62,806,25200,205,432000,310500
5,Kaliakair,20,112,20,80,40,84,8541,7850,20350,185847
6,Kaliganj,7,41,18,35,19,53,530,618,6522,8336
7,Kapashia,14,160,32,62,30,182,72,140,8720,7860
8,Sreepur,15,120,75,80,90,155,2400,5600,4521,4853
9,Total,118,1053,331,629,241,1280,36743,14413,472113,517396
