,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,"
Upazila","Number of union health
centre",Health service,"
Sterilization","
M.R.",Injection/ copper-T,Oral pill/ condom,"Number of immunization
centre"
2,"Bagerhat
Sadar",11,11,2,11,11,11,240
3,Kachua,4,4,227,9,8,10,171
4,Rampal,9,9,362,957,6,14,241
5,Sarankhola,4,4,1,5,5,12,112
6,Chitalmari,4,4,1,7,7,7,169
7,Morrelgonj,16,17,1,17,17,17,188
8,Mongla,6,6,6,2,7,7,34
9,Mollahat,6,6,1,7,7,7,169
10,Fakirhat,9,9,1,9,9,9,193
11,Total,69,70,602,1024,77,94,1517
