,0,1,2,3,4,5
0,"Number of physician, practitioner in this upazila 2011",,,,,
1,Sylhet,,,,,
2,,,,,,
3,Upazila/City Corporation,Total physician,MBBS  FCPS,L.M.F,Unani / ayurbedic,Homeopathy
4,Balaganj,65,42,32,12,26
5,Beanibazar,24,24,25,4,26
6,Bishwanath,46,25,4,2,15
7,Companiganj,21,4,0,2,15
8,Dakhin Surma,50,12,8,10,20
9,Fenchuganj,33,6,3,4,20
10,Golapganj,25,25,3,5,26
11,Gowainghat,7,0,3,2,30
12,Jaintiapur,62,8,42,12,20
13,Kanaighat,55,15,10,10,30
14,Sylhet City Corporation,873,562,73,33,205
15,Sylhet Sadar,176,30,33,11,102
16,Zakiganj,58,7,3,2,46
17,Total,1495,760,239,109,581
