,0,1,2,3,4
0,"Occurrence of storm during the years 2008-2011(Yes, No)",,,,
1,"Upazila/City
corporation",2008,2009,2010,2011
2,Anowara,No,No,No,No
3,Banshkhali,No,No,No,No
4,Boalkhali,No,No,No,No
5,Chandanaish,No,No,No,No
6,Chittagong City Corp.,Yes,Yes,Yes,Yes
7,Fatikchhari,No,No,No,No
8,Hathazari,No,No,No,No
9,Lohagara,No,No,No,No
10,Mirsharai,No,Yes,No,No
11,Patiya,No,No,No,No
12,Rangunia,No,No,No,No
13,Raozan,No,No,No,No
14,Sandwip,No,No,No,No
15,Satkania,No,No,No,No
16,Sitakunda,No,No,No,No
