,0,1,2,3
0,Number of insurance company 2011,,,
1,Upazila/City corporation,"Number of
insurance company",Number of employee,Number of client
2,Anoawra,1,3,162
3,Banshkhali,8,127,4673
4,Boalkhali,8,95,24500
5,Chandanaish,12,35,103000
6,Chittagong City Corp.,131,2238,160509
7,Fatikchhari,13,325,14472
8,Hathazari,13,182,20007
9,Lohagara,4,25,900
10,Mirsharai,8,44,26590
11,Patiya,14,210,52300
12,Rangunia,13,325,35100
13,Raozan,16,42,1813
14,Sandwip,10,32,1000000
15,Satkania,8,93,18032
16,Sitakunda,28,196,11817
17,Total,287,3972,1473876
