,0,1,2,3,4,5
0,Average doctor s fee per patient 2011,,,,,
1,,,,,,
2,(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka)
3,Upazila,Doctor,Doctor,Doctor,Doctor,Doctor
4,Upazila,MBBS,FCPS,Dentist,Gynaecologist,Homeopathy
5,Belkuchi,250,200,200,250,50
6,Chauhali,200,300,200,200,50
7,Kamarkhanda,200,0,200,200,50
8,Kazipur,200,350,300,350,50
9,Royganj,200,300,200,200,50
10,Shahjadpur,100,300,250,200,50
11,Sirajganj Sadar,200,300,300,250,50
12,Tarash,200,0,200,200,50
13,Ullahpara,200,300,200,200,50
14,Average,195,293,228,228,50
