,0,1,2,3,4
0,Number of fisherman and production of fish in following years,,,,
1,,,,,
2,(Production in metric ton) - Upazila/City corporation,(Production in metric ton) - 2010-11 - Number,(Production in metric ton) - 2010-11 - Production,(Production in metric ton) - 2009-10 - Number,(Production in metric ton) - 2009-10 - Production
3,Anowara,2120,148,1950,135
4,Banshkhali,3150,2118,3100,2108
5,Boalkhali,691,2559,626,2513
6,Chandanaish,650,3575,620,50
7,Chittagong City Corp.,5067,3351,5311,3605
8,Fatikchhari,787,4473,798,4536
9,Hathazari,820,6340,800,5800
10,Lohagara,60,2000,50,1850
11,Mirsharai,11068,392,10752,296
12,Patiya,1213,2082,1110,1953
13,Rangunia,1170,640,1040,580
14,Raozan,1334,5155,1334,4975
15,Sandwip,3370,2476,3305,2344
16,Satkania,1950,490,1230,446
17,Sitakunda,230,580,210,560
18,Total,33680,36378,32236,31751
