,0,1,2,3,4,5
0,Number of family planning personnel working by municipality 2011,,,,,
1,Tangail,,,,,
2,,,,,,
3,Municipality,Doctors,Family planning inspector,Family planning assistants,Family planning visitor,Midwives/ birth attendant (Dais)
4,Basail,0,0,0,0,0
5,Bhuapur,1,1,2,1,0
6,Delduar,0,0,0,0,0
7,Dhanbari,1,1,8,1,4
8,Ghatail,1,1,2,2,0
9,Gopalpur,1,1,1,1,0
10,Kalihati,1,1,1,1,0
11,Madhupur,3,9,3,2,0
12,Mirzapur,0,1,5,1,0
13,Nagarpur,0,0,0,0,0
14,Sakhipur,1,1,1,1,0
15,Tangail Sadar,3,0,14,6,0
16,Total,12,16,37,16,4
