,0,1,2,3,4,5
0,Daily average wage rate of non-agricultural labour 2011,,,,,
1,,,,,,
2,(Wage in taka) - Upazila,(Wage in taka) - Porter (coolee),(Wage in taka) - Garden labour male,(Wage in taka) - Garden female labour,(Wage in taka) - Other labour (Adult),(Wage in taka) - Other labour (Child)
3,Belkuchi,200,250,180,150,100
4,Chauhali,250,240,170,200,100
5,Kamarkhanda,300,250,200,200,180
6,Kazipur,300,250,200,200,120
7,Royganj,250,300,180,200,100
8,Shahjadpur,300,250,200,250,100
9,Sirajganj Sadar,350,250,160,180,120
10,Tarash,350,250,180,200,80
11,Ullahpara,260,250,130,200,90
12,Average,284,254,178,198,110
