,0,1,2,3,4,5,6,7,8,9
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,
1,"

Upazila",Number of branch of all private commercial banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branch of all private commercial banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,Number of borrower,Number of borrower
3,"

Upazila",Number of branch of all private commercial banks,Male,Female,Male,Female,Male,Female,Male,Female
4,Akhaura,8,890,70,0,0,960,234,1850,300
5,Ashuganj,13,144,274,170,5,873,946,1187,1225
6,Banchharampur,2,250,903,96,0,210,2,556,905
7,Bijoynagar,0,0,0,0,0,0,0,0,0
8,Brahmanbaria Sadar,11,291,2199,30,6,1913,206,2249,2432
9,Kasba,3,83,62,0,0,38,0,181,62
10,Nabinagar,2,0,0,0,0,289,14,289,14
11,Nasirnagar,0,0,0,0,0,0,0,0,0
12,Sarail,0,0,0,0,0,0,0,0,0
13,Total,39,1658,3508,296,11,4283,1402,6312,4938
