,0,1,2,3,4,5,6,7,8,9
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,
1,"

Upazila",Number of branch of all   nationalized banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branch of all   nationalized banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Others debt,Others debt,Number of borrower,Number of borrower
3,"

Upazila",Number of branch of all   nationalized banks,Male,Female,Male,Female,Male,Female,Male,Female
4,Akhaura,5,764,5,0,0,317,90,1081,140
5,Ashuganj,7,3203,4,22,0,43,23,3658,27
6,Banchharampur,6,1434,146,50,2,630,30,2151,151
7,Bijoynagar,3,4423,44,0,0,216,1,4639,45
8,Brahmanbaria Sadar,17,4416,686,14,0,2338,94,6828,780
9,Kasba,6,4741,10,0,0,39,0,4780,10
10,Nabinagar,11,1320,220,0,0,1071,25,2391,245
11,Nasirnagar,7,6925,641,0,0,604,176,7529,817
12,Sarail,4,23795,37,18,0,172,12,23985,49
13,Total,66,51021,1793,104,2,5430,451,57042,2264
