,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,"

Upazila",Number of branch of nationalized bank,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branch of nationalized bank,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,"Number of
borrower","Number of
borrower","Total debt
(crore tk)","Total debt
(crore tk)"
3,"

Upazila",Number of branch of nationalized bank,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Bhedarganj,2,202,22,0,0,92,31,294,53,22,7
5,Damudya,1,202,28,0,0,82,37,289,65,18,9
6,Gosairhat,2,23,0,0,0,146,13,169,13,2,0.5
7,Naria,5,4100,5,0,0,320,30,4420,35,950,320
8,Shariatpur Sadar,5,3728,31,0,0,3878,18,11206,49,19,0.6
9,Zanjira,2,7015,145,50,0,60,0,7125,145,9,0
10,Total,17,15270,231,50,0,4578,129,23503,360,1020,337.1
