,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,"

Upazila","
Number of branch of nationalized bank",Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila","
Number of branch of nationalized bank",Agriculture debt,Agriculture debt,Industry debt,Industry debt,Others debt,Others debt,Number of borrower,Number of borrower,Total debt (Crore),Total debt (Crore)
3,"

Upazila","
Number of branch of nationalized bank",Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Kushtia Sadar,47,33774,3506,82,1,13339,7469,47195,10976,534,103.18
5,Bheramara,6,2136,212,0,0,3248,1122,5384,1334,28.2,4.13
6,Daulatpur,14,8909,2641,24,615,1122,1490,1055,757,15.99,6.52
7,Khoksa,5,1711,0,0,0,304,10,2015,10,5,2
8,Kumarkhali,11,4357,8,128,1,785,205,5270,214,36.63,2.2
9,"
Mirpur","
10","
2830","
470","
17","
2","
1532","
2453","
4379","2925	335.2	206.1
2","2925	335.2	206.1
2","2925	335.2	206.1
2"
10,Total,93,53717,6837,251,619,20330,12749,65298,"16216	955.0	324.13
4","16216	955.0	324.13
4","16216	955.0	324.13
4"
