,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,Sherpur,,,,,,,
2,,,,,,,,
3,Upazila,Number of union health centre,Health service, Sterilization, M.R.,Injection/ copper-T,Oral pill/ condom,Number of immunization centre
4,Jhenaigati,4,51411,136,16,44074,220289,58
5,Nakla,8,88741,185,10,27852,58852,98
6,Nalitabari,6,45171,430,34,21748,47728,74
7,Sherpur Sadar,13,137852,866,31,17883,48726,159
8,Sreebardi,8,74114,841,117,10029,75585,102
9,Total,39,397289,2458,208,121586,451180,491
