,0,1,2,3,4,5
0,Number of diagnostic centre and related health personnel 2011,,,,,
1,Kishoreganj,,,,,
2,,,,,,
3, Upazila,Number of centre,Number of doctor,Number of nurse,Number of technician,Number of other staff
4,Austagram,1,2,1,2,12
5,Bajitpur,5,10,5,5,25
6,Bhairab,16,16,0,32,75
7,Hossainpur,2,3,0,2,7
8,Itna,0,0,0,0,0
9,Karimganj,2,0,0,2,6
10,Katiadi,5,10,10,2,15
11,Kishoreganj Sadar,5,22,14,7,16
12,Kuliar-char,2,7,9,2,10
13,Mithamain,0,0,0,0,0
14,Nikli,0,0,0,0,0
15,Pakundia,2,6,0,3,14
16,Tarail,4,4,0,4,14
17,Total,44,80,39,61,194
