,0,1,2,3,4,5,6
0,Status of family planning activity 2011,,,,,,
1,,,,,,,
2, Upazila,Sterilization in number,Sterilization in number,IUD/ Injection,Condom (in piece),Oral pill (in cycle), Copper- T
3, Upazila,Vasectomy,Tubectomy,IUD/ Injection,Condom (in piece),Oral pill (in cycle), Copper- T
4,Chhagalnaiya,11,146,2824,471,2824,113
5,Daganbhuiyan,16,310,1754,1337,2737,324
6,Feni Sadar,368,6248,15197,8012,26129,2539
7,Fulgazi,14,86,2273,681,4363,146
8,Parshuram,21,125,8889,16226,42222,91
9,Sonagazi,38,306,8170,1152,6783,0
10,Total,468,7221,39107,27879,85058,3213
