,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all nationalized banks,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Other debt - Male,Number of borrower - Other debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (crore tk) - Male,Number of borrower - Total debt (crore tk) - Female
3,Atrai,9,7907,47,6,0,1484,143,9397,190,39.95,1.64
4,Badalgachhi,6,3250,172,0,0,722,105,3972,277,21.3,1.5
5,Dhamoirhat,5,2362,0,0,0,168,0,2530,0,26,0
6,Manda,10,6377,364,1,0,943,171,7321,535,47.48,5.65
7,Mahadebpur,0,0,0,0,0,0,0,0,0,0,0
8,Naogaon sadar,10,1591,50,3,0,2227,153,3821,203,43.13,1.024
9,Niamatpur,3,3800,0,25,0,712,0,4537,0,7.35,0
10,Patnitala,5,1008,5,0,0,780,12,1788,17,16,1
11,Porsha,5,3614,36,0,0,1474,53,5088,89,22.21,0.8
12,Raninagar,6,2200,36,358,0,890,85,3448,121,9,1
13,Sapahar,5,2859,99,0,0,595,62,3454,161,15.44,0.81
14,Total,64,34968,809,393,0,9995,784,45356,1593,247.86,13.424
