,0,1,2,3,4,5
0,Average doctor s fee per patient 2011,,,,,
1,,,,,,
2,(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka),(Fee in taka)
3, Upazila,Doctor,Doctor,Doctor,Doctor,Doctor
4, Upazila,MBBS,FCPS,Dentist,Gynaecologist,Homeopathy
5,Abhaynagar,200,300,200,400,50
6,Bagherpara,100,0,100,0,20
7,Chaugachha,200,0,150,0,30
8,Jessore Sadar,300,400,200,400,50
9,Jhikargachha,300,0,150,300,60
10,Keshabpur,100,200,150,200,80
11,Manirampur,350,400,300,400,50
12,Sharsha,200,0,200,200,50
13,Average,220,325,180,315,50
