,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,"

Upazila",Number of branch of all private commercial banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branch of all private commercial banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,Number of borrower,Number of borrower,Total debt (crore tk),Total debt (crore tk)
3,"

Upazila",Number of branch of all private commercial banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Begumganj,22,435,2577,49,0,2687,88,3172,2665,324.82,46.84
5,Chatkhil,3,781,615,0,0,191,18,972,633,71.52,3.13
6,Companiganj,6,0,0,17,6,1260,32,1277,38,208,9
7,Hatiya,0,0,0,0,0,0,0,0,0,0,0
8,Kabirhat,3,0,0,0,0,0,0,541,751,3,5
9,Noakhali Sadar,10,881,1295,2,2,1590,366,1712,1663,158.95,8.08
10,Senbagh,3,50,340,0,0,300,336,350,676,0.09,1.04
11,Sonaimuri,4,608,0,14,1,624,96,1246,97,41.12,2.29
12,Subarnachar,1,1159,5,0,0,186,0,1345,5,5.97,0.01
13,Total,52,3914,4832,82,9,6838,936,10615,6528,813.47,75.39
