,0,1,2,3
0,Number of insurance company 2011,,,
1,Comilla,,,
2,,,,
3,Upazila,Number of insurance company,Number of employee,Number of client
4,Adarsha Sadar,46,513,541624
5,Barura,6,118,15484
6,Brahmanpara,24,120,14700
7,Burichang,24,138,15980
8,Chandina,6,405,4480
9,Chauddagram,0,0,0
10,Comilla Sadar Dakshin,5,55,375
11,Daudkandi,28,889,43597
12,Debidwar,13,205,2000
13,Homna,11,62,7901
14,Laksam,19,938,64300
15,Monoharganj,13,65,16400
16,Meghna,11,48,2810
17,Muradnagar,26,2128,30288
18,Nangalkot,10,1660,15515
19,Titas,2,8,1345
20,Total,244,7352,776799
