,0,1,2,3,4,5,6,7,8,9,10
0,Number of Government Health Complex  Health Facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,Upazila/ City Corporation,Number of Hospital/ Clinic/ Nursing home,Number of bed,Number of doctor,Number of nurse,Number of technician,Number of other staff,Number of patient under health facility 2011 Indoor Male,Number of patient under health facility 2011 Indoor Female,Number of patient under health facility 2011 Outdoor Male,Number of patient under health facility 2011 Outdoor Female
3,Batiaghata,1,31,14,10,18,65,705,1038,22120,39406
4,Dacope,1,50,6,14,4,80,9797,22402,6179,9348
5,Dighalia,1,31,10,10,3,93,1005,1554,50860,87633
6,Dumuria,1,31,16,12,3,160,2045,2763,18930,42420
7,Khulna City Corporation,8,865,178,381,34,308,25291,26924,152932,153981
8,Koyra,2,50,7,8,1,63,1430,1565,11325,13256
9,Paikgachha,2,40,10,8,4,88,1508,1850,2018,3015
10,Phultala,1,50,16,16,14,31,1804,2792,12015,32714
11,Rupsa,1,31,7,10,4,86,1682,2521,20524,30787
12,Terokhada,1,31,9,11,2,63,473,1903,10228,40909
13,Total,19,1210,273,480,87,1037,45740,65312,307131,453469
