,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all nationalized banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
3,  Upazila,Number of branch of all nationalized banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,Number of borrower,Number of borrower,Total debt (crore tk),Total debt (crore tk)
4,  Upazila,Number of branch of all nationalized banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
5,Akkelpur,5,427,73,1,0,575,0,1003,73,12.36,3.59
6,Joypurhat sadar,7,215,12,0,0,1275,550,1490,562,82.14,4
7,Kalai,7,7264,6870,3,2,2403,1031,9650,7903,93,49.5
8,Khetlal,5,6721,82,0,0,1140,950,7861,1032,78.15,1.68
9,Panchbibi,10,5270,5,1,0,1769,12,7040,17,2.54,0.05
10,Total,34,19897,7042,5,2,7162,2543,27044,9587,268.2,58.61
