,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,Nilphamari,,,,,,,
2,,,,,,,,
3,Upazila,Number of union health centre,Health service, Sterilization, M.R.,Injection/ copper-T,Oral pill/ condom,Number of immunization centre
4,Dimla,9,4521,707,544,5845,20679,230
5,Domar,12,7078,684,456,2497,30758,264
6,Joldhaka,12,1540,718,63,8563,30070,316
7,Kishorgonj,8,5282,348,51,6723,26310,216
8,Nilphamary Sadar,4,3063,105,42,7412,20541,360
9,Sayedpur,6,2854,158,21,6528,21025,160
10,Total,51,24338,2720,1177,37568,149383,1546
