,0,1,2,3,4,5
0,"Number of physician, practitioner by upazila,  city corporation 2011",,,,,
1,Barisal,,,,,
2,,,,,,
3,Upazila/city corporation,Total physician,"MBBS, FCPS/over",L.M.F,Unani/ ayurbedic,Homeopathy
4,Agailjhara,52,13,2,7,30
5,Babuganj,32,11,3,0,18
6,Bakerganj,59,4,10,5,40
7,Banaripara,21,21,0,1,17
8,Barisal city corporation,148,108,6,14,20
9,Barisal Sadar,13,10,3,0,0
10,Gaurnadi,64,13,24,10,17
11,Hizla,0,0,3,3,7
12,Mehendiganj,32,9,4,2,17
13,Muladi,104,25,55,2,22
14,Wazirpur,61,5,0,1,55
15,Total,586,219,110,45,243
