,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,Sherpur,,,,,,,,,,,
2,,,,,,,,,,,,
3,  Upazila,Number of branch of all nationalized banks,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Other debt - Male,Number of borrower - Other debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (crore tk) - Male,Number of borrower - Total debt (crore tk) - Female
4,Jhenaigati,3,9724,0,0,0,69,0,9793,0,2.7,0
5,Nakla,5,36321,805,0,0,751,60,37076,865,57.11,1.96
6,Nalitabari,7,10308,955,0,0,1011,120,11319,1075,138.41,36.92
7,Sherpur Sadar,15,28861,89,49,0,4986,3142,33896,3231,182.60,4.2
8,Sreebardi,2,8539,990,0,0,545,163,9084,1153,26.82,1.76
9,Total,32,93753,2839,49,0,7362,3485,101168,6324,407.64,44.84
