,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from private commercial bank 2011",,,,,,,,,,,
1,Sherpur,,,,,,,,,,,
2,,,,,,,,,,,,
3,  Upazila,Number of branch of all private commercial banks,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Other debt - Male,Number of borrower - Other debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (crore tk) - Male,Number of borrower - Total debt (crore tk) - Female
4,Jhenaigati,2,120,4752,0,0,30,23,150,4775,0.2,4.66
5,Nakla,1,101,12604,0,0,0,59,101,12663,2.5,12.95
6,Nalitabari,1,50,0,5,2,23,0,78,2,1.3,0.2
7,Sherpur Sadar,9,1557,15603,7,49,1297,972,2896,1200,272.25,27.47
8,Sreebardi,3,13995,105,128,0,61,3444,14184,3549,30.01,4.62
9,Total,16,15823,33064,140,51,1411,4498,17409,22189,306.26,49.9
