,0,1,2,3
0,Number of insurance company 2011,,,
1,Chittagong,,,
2,,,,
3,Upazila/City corporation,Number of insurance company,Number of employee,Number of client
4,Anowara,1,3,162
5,Banshkhali,8,127,4673
6,Boalkhali,8,95,24500
7,Chandanaish,12,35,103000
8,Chittagong City Corporation,131,2238,160509
9,Fatikchhari,13,325,14472
10,Hathazari,13,182,20007
11,Lohagara,4,25,900
12,Mirsharai,8,44,26590
13,Patiya,14,210,52300
14,Rangunia,13,325,35100
15,Raozan,16,42,1813
16,Sandwip,10,32,1000000
17,Satkania,8,93,18032
18,Sitakunda,28,196,11817
19,Total,287,3972,1473876
