,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,"

Upazila",Number of branch of all    nationalized banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
2,"

Upazila",Number of branch of all    nationalized banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,"Number of
borrower","Number of
borrower","Total debt
(crore tk)","Total debt
(crore tk)"
3,"

Upazila",Number of branch of all    nationalized banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
4,Gopalganj Sadar,45,33722,1129,95,0,1696,33,35106,1569,200,22
5,Kashiani,10,9663,1713,557,121,1513,178,11733,2012,242,4
6,Kotalipara,8,5217,421,11,2,1658,642,6886,1065,251,20
7,Muksudpur,10,1620,35,0,0,200,170,1820,205,3,1
8,Tungipara,11,4389,391,4,1,4247,459,5640,851,536,3
9,Total,84,54611,3689,667,124,9314,1482,61185,5702,1232,50
