,0,1,2,3
0,Number of insurance company 2011,,,
1,,,,
2,Upazila/City corporation,Number of insurance company,Number of employee,Number of client
3,Anoawra,1,3,162
4,Banshkhali,8,127,4673
5,Boalkhali,8,95,24500
6,Chandanaish,12,35,103000
7,Chittagong City Corp.,131,2238,160509
8,Fatikchhari,13,325,14472
9,Hathazari,13,182,20007
10,Lohagara,4,25,900
11,Mirsharai,8,44,26590
12,Patiya,14,210,52300
13,Rangunia,13,325,35100
14,Raozan,16,42,1813
15,Sandwip,10,32,1000000
16,Satkania,8,93,18032
17,Sitakunda,28,196,11817
18,Total,287,3972,1473876
