,0,1,2,3,4,5,6,7
0,"Number of health centre, providing health and family planning service 2011",,,,,,,
1,Bandarban,,,,,,,
2,,,,,,,,
3, Upazila,Number of union health centre,Health service, Sterilization, M.R.,Injection/ copper-T,Oral pill/ condom,Number of immunization centre
4,Alikadam,3,2,1,2,2,2,49
5,Bandarban Sadar,5,5,5,5,5,5,34
6,Lama,9,15,4,4,15,15,30
7,Naikhongchhari,3,3,3,2,2,2,97
8,Rowangchhari,4,4,4,4,4,4,36
9,Ruma,2,3,3,3,3,3,0
10,Thanchi,1,2,2,2,2,2,0
11,Total,27,34,22,22,33,33,246
