,0,1,2,3,4,5,6,7,8,9,10
0,Number of Government health complex and health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Upazila,Number of hospital/ clinic/ nursing home, Number of bed, Number of doctor, Number of nurse, Number of technician,Number of other staff,Number of patient under health facility - Indoor - Male,Number of patient under health facility - Indoor - Female,Number of patient under health facility - Outdoor - Male,Number of patient under health facility - Outdoor - Female
3,Bakshiganj,3,31,6,6,12,87,1450,1927,30517,42519
4,Dewanganj,1,50,11,5,17,61,3975,3186,11576,10214
5,Islampur,1,31,12,14,6,78,1247,3615,9690,23464
6,Jamalpur Sadar,3,262,54,66,32,111,58848,68821,101937,109870
7,Madarganj,1,31,6,5,5,97,1290,1192,35037,32343
8,Melandaha,1,50,21,14,11,130,1351,1675,29110,37605
9,Sarishabari,1,50,15,10,23,15,3717,5836,10309,15163
10,Total,11,505,125,120,106,579,71878,86252,228176,271178
