,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all    nationalized banks,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower,Number of borrower
3,  Upazila,Number of branch of all    nationalized banks,Agriculture debt,Agriculture debt,Industry debt,Industry debt,Other debt,Other debt,Number of borrower,Number of borrower,Total debt (crore tk),Total debt (crore tk)
4,  Upazila,Number of branch of all    nationalized banks,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female
5,Barlekha,5,0,0,0,0,0,0,0,0,0,0
6,Juri,4,818,193,0,0,191,15,1009,208,6.41,0.77
7,Kamalganj,3,0,0,0,0,0,0,0,0,0,0
8,Kulaura,9,13337,4358,28,0,1475,413,14840,4771,45.07,7
9,Moulvibazar Sadar,18,1475,206,14,1,1509,187,2998,394,37.4,3.76
10,Rajnagar,8,2665,131,40,0,600,185,3305,316,11.56,1.98
11,Sreemangal,7,642,83,18,4,352,31,1012,118,179.32,21.1
12,Total,54,18937,4971,100,5,4127,831,23164,5807,279.76,34.61
