,0,1,2,3,4,5,6,7,8,9,10
0,Number of Government health complex and health facility 2011,,,,,,,,,,
1,,,,,,,,,,,
2,  Upazila,Number of   hospital/ clinic/ nursing home, Number of bed, Number of  doctor, Number of nurse, Number of    technician, Number of other staff,Number of patient under health facility,Number of patient under health facility,Number of patient under health facility,Number of patient under health facility
3,  Upazila,Number of   hospital/ clinic/ nursing home, Number of bed, Number of  doctor, Number of nurse, Number of    technician, Number of other staff,Indoor,Indoor,Outdoor,Outdoor
4,  Upazila,Number of   hospital/ clinic/ nursing home, Number of bed, Number of  doctor, Number of nurse, Number of    technician, Number of other staff,Male,Female,Male,Female
5,Chakaria,13,50,22,15,5,15,0,8231,30224,50411
6,Cox's Bazar Sadar,1,250,35,80,15,25,1560,9380,37640,63290
7,Kutubdia,1,50,5,1,4,48,2150,2084,97770,10212
8,Moheshkhali,35,50,8,2,2,102,4994,64,11454,50840
9,Pekua,1,31,6,2,4,20,936,1872,6240,72480
10,Ramu,29,31,6,9,4,3,1852,2779,39446,46982
11,Teknaf,1,50,8,5,2,70,348,6922,27636,44187
12,Ukhia,0,31,4,3,4,50,300,3570,25000,52500
13,Total,81,543,94,117,40,333,12140,34902,275410,390902
