,0,1,2,3,4,5,6,7
0,Number of existing family planning personnel 2011,,,,,,,
1,,,,,,,,
2,Upazila,TFPO,MO,FPI,TFPA,FWV,FWA,Midwife or SBA
3,Biral,1,2,8,4,10,41,110
4,Birampur,1,1,8,8,6,29,10
5,Birganj,0,1,9,3,7,48,0
6,Bochaganj,1,0,4,2,5,31,0
7,Chirirbandar,1,1,11,3,8,51,0
8,Dinajpur Sadar,1,2,10,3,12,58,1
9,Fulbari,1,1,8,3,8,33,2
10,Ghoraghat,1,1,1,1,3,15,1
11,Hakimpur,0,0,3,2,4,17,0
12,Kaharole,1,1,6,4,5,28,0
13,Khansama,1,1,3,2,6,27,0
14,Nawabganj,1,1,7,1,6,36,3
15,Parbatipur,1,1,5,2,10,57,2
16,Total,11,13,83,38,90,471,129
