,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2,  Upazila,Number of branch of all nationalized banks,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Other debt - Male,Number of borrower - Other debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (crore tk) - Male,Number of borrower - Total debt (crore tk) - Female
3,Azmirigonj,0,0,0,0,0,0,0,0,0,0,0
4,Bahubal,7,3872,2,1,0,1572,70,5445,72,22.61,3.7
5,Baniachang,4,3734,1184,0,0,498,84,4232,1268,0.11,0.3
6,Chunarughat,7,25000,2000,250,0,230,80,15000,200,168,46
7,Habiganj Sadar,8,3450,70,0,0,2776,372,6226,442,27.11,163
8,Lakhai,6,3848,63,0,0,52,0,3900,63,1.7,0.29
9,Madhabpur,9,5435,0,1,0,769,0,6208,0,570.59,0
10,Nabiganj,9,3707,,402,12,1128,5,5537,17,10.74,1.1
11,Total,50,49046,3319,654,12,7025,611,46548,2062,800.86,214.39
