,0,1,2,3,4,5,6,7,8,9,10,11
0,"Number of person, institute borrowing money from nationalized bank 2011",,,,,,,,,,,
1,,,,,,,,,,,,
2, Upazila,Number of branch of all nationalized banks,Number of borrower - Agriculture debt - Male,Number of borrower - Agriculture debt - Female,Number of borrower - Industry debt - Male,Number of borrower - Industry debt - Female,Number of borrower - Others debt - Male,Number of borrower - Others debt - Female,Number of borrower - Male,Number of borrower - Female,Number of borrower - Total debt (Crore) - Male,Number of borrower - Total debt (Crore) - Female
3,Chandpur Sadar,18,16847,2373,6,1,1518,184,18371,2558,1950,272
4,Foridganj,6,371,5,0,0,2103,10,2480,15,3.72,3
5,Haimchar,2,706,0,0,0,182,0,888,0,21,0
6,Hajiganj,7,2200,38,80,0,1000,107,3280,145,10.01,0.41
7,Kachua,6,9629,199,0,0,377,478,10050,252,28.29,2.78
8,Matlab Dakshin,5,3931,45,2,0,730,263,4663,308,528,9
9,Matlab uttar,9,3600,300,100,15,1000,2000,4700,2315,40,1.62
10,Shahrasti,7,5215,11,8,0,1009,859,6224,870,17.83,5.15
11,Total,60,42499,2971,196,16,7919,3901,50656,6463,2598.85,290
